测试用例编号,测试标题,测试步骤,测试类别,预期结果,实际结果,执行人,执行日期,备注
TC-462,退货单正常导入,"1. 打开「导入管理」页面
2. 点击「新建导入」
3. 选择导入类型「退货单」
4. 选择 Excel 文件
5. 点击确定",导入测试,显示成功数量等于数据行数；失败数=0；退货单管理页面可查到新记录（状态=draft，客户=UNKNOWN）,通过,,,
TC-463,退货单部分行失败,1. 上传文件，执行导入,导入测试,收货时间为空的行失败（错误：收货时间不能为空）；其余行正常创建；导入结果显示失败行号和错误信息,通过,,,
TC-464,查看历史导入记录,"1. 打开「导入管理」页面
2. 查看列表",导入测试,列表显示导入记录（文件名、类型、时间、总数/成功/失败）；点击「查看日志」可查看失败详情,通过,,,
TC-465,日期格式兼容性,1. 上传文件，执行导入,导入测试,所有支持的日期格式均能正常解析，生成正确 receiveDate 和 complaintDate,通过,,,
TC-466,MRB 号导入,"1. 上传含 MRB 号的 Excel 文件
2. 执行导入
3. 查看导入成功的退件信息详情",导入测试,"退件信息 otherInfo 字段显示""MRB 号：xxx""；MRB 号为空的行 otherInfo 为空",待测试,,,IM-005；前置条件：准备含 MRB 号列（MRB号/MRB No/MRB Number 表头）的 Excel
TC-467,导入不创建分析单,"1. 导入成功后
2. 查询 APMS_ANALYSIS_ORDER 表
3. 查看分析单管理页面",导入测试,导入的退货单下无分析单记录；分析单管理页面不显示导入订单的分析单,通过,,,
TC-468,新建退货单不残留上次表单,"1. 进入退货单列表
2. 点击「新建退件」填写部分字段后返回列表
3. 再次点击「新建退件」",功能测试,新建表单为空白初始状态，不显示上次填写的数据,待测试,,,修复 wujie keep-alive + 同组件复用导致 `onMounted` 不触发
TC-469,编辑→新建不残留编辑数据,"1. 打开某退货单「编辑」页
2. 返回列表
3. 点击「新建退件」",功能测试,新建表单为空白初始状态，不显示刚编辑订单的数据,待测试,,,同组件 `OrderForm.vue` 复用场景
TC-470,新建售后件不残留上次表单,"1. 进入售后件列表
2. 点击「新建」填写部分字段后返回
3. 再次点击「新建」",功能测试,新建表单为空白初始状态，不显示上次填写的数据,待测试,,,`PartForm.vue` 同样修复
TC-471,返回箭头跳逻辑父级,"1. 分别进入：退货单详情、售后件详情、分析单详情、精分析表单、各表单「编辑/取消」
2. 点击左上角返回箭头/取消",功能测试,全部跳转到对应逻辑父级页面（退货单类→退货单列表；售后件类→售后件列表；分析单详情→分析单列表；精分析表单→该零件详情），不依赖浏览器历史栈,待测试,,,由 `router.back()` 改为 `router.push(逻辑父级)`
TC-472,跨 tab 创建退件不残留旧表单,"1. 在退货单详情点「创建退件」进入售后件创建页（跨 tab jump）
2. 填写并提交
3. 回到退货单详情再次点「创建退件」",功能测试,第二次进入创建页为空白初始表单，不显示上次填写的数据；提交后售后件 tab 自动离开新建页,待测试,,,AEP 无关闭 tab 接口；用 jump 带时间戳强制 fullPath 不同 + 提交后离开 /new
