测试用例编号,测试标题,测试步骤,测试类别,建议测试的角色,预期结果,实际结果,执行人,执行日期,备注
TC-329,发件邮箱格式校验,"1. 发件邮箱填写非法格式（如 test）
2. 点击保存",系统设置,系统管理员,提示「请输入正确的邮箱地址」,,,,
TC-330,测试邮件连接成功,"1. 保存有效配置后
2. 点击测试连接
3. 输入测试邮箱
4. 确定",系统设置,系统管理员,测试邮件发送成功，显示成功提示,,,,
TC-331,测试邮件连接失败,"1. 配置错误的服务器
2. 点击测试连接",系统设置,系统管理员,显示错误提示，包含失败原因,,,,
TC-332,测试连接邮箱必填与格式校验,"1. 点击测试连接
2. 不填测试邮箱或填非法格式
3. 确定",系统设置,系统管理员,提示「请输入测试邮箱地址」或「请输入正确的邮箱地址」,,,,
TC-333,未保存配置时禁止测试连接,"1. 修改配置但未保存
2. 点击测试连接",系统设置,系统管理员,测试按钮禁用或提示「请先保存配置」,,,,
TC-334,修改并保存已有邮件配置,"1. 加载已有配置
2. 修改部分字段
3. 保存",系统设置,系统管理员,更新成功，显示更新后的配置,,,,
TC-335,发件人显示名称生效,"1. 填写发件人显示名称
2. 保存配置
3. 发送测试邮件",系统设置,系统管理员,邮件发件人显示为「显示名称 <邮箱>」格式,,,,
TC-336,刷新后邮件配置保持,"1. 保存配置
2. 刷新页面",系统设置,系统管理员,配置保持不变,,,,
TC-337,责任判定通知（B）,"1. 创建精分析报告
2. 责任方选择 B
3. 提交报告",系统设置,系统管理员 / 分析员,发送邮件给分析师和责任工程师，抄送 QMC Leader,,,,
TC-338,责任判定通知（O）,"1. 创建精分析报告
2. 责任方选择 O
3. 提交报告",系统设置,系统管理员 / 分析员,发送邮件给分析师和责任工程师，抄送 QMC Leader,,,,
TC-339,责任判定为空时不发通知,"1. 创建精分析报告
2. 不填写责任方
3. 提交报告",系统设置,系统管理员 / 分析员,不发送邮件,,,,
TC-340,邮件配置缺失时静默不报错,"1. 数据库无邮件服务器配置
2. 触发责任判定提交",系统设置,系统管理员,不抛异常，不发送邮件，系统正常运行,,,,
TC-341,精分析预警通知触发,"1. 退件进入「精分析/进行中」满 13 天且未满 21 天
2. 等待定时任务执行",系统设置,系统管理员 / 分析员,分析师收到预警邮件,,,,
TC-342,预警通知每天最多一次,"1. 已发送过预警
2. 同一天内定时任务再次执行",系统设置,系统管理员 / 分析员,不重复发送预警邮件,,,,
TC-343,超期后不再发预警,"1. 退件进入「精分析/进行中」满 21 天
2. 等待定时任务执行",系统设置,系统管理员 / 分析员,不再发预警邮件（改为发超时邮件）,,,,
TC-344,精分析超时通知触发,"1. 退件进入「精分析/进行中」满 21 天
2. 等待定时任务执行",系统设置,系统管理员 / 分析员,分析师收到超时邮件，抄送 QMC Leader,,,,
TC-345,超时通知每 3 天最多一次,"1. 已发送过超时通知
2. 未满 3 天定时任务再次执行",系统设置,系统管理员 / 分析主管,不重复发送超时邮件,,,,
TC-346,审批超期提醒触发,"1. 退件进入「精分析审批/进行中」满 3 天
2. 等待定时任务执行",系统设置,系统管理员 / 分析主管,QMC Leader 收到审批提醒邮件,,,,
TC-347,审批超期提醒每 3 天最多一次,"1. 已发送过审批提醒
2. 未满 3 天定时任务再次执行",系统设置,系统管理员 / 分析主管,不重复发送审批提醒,,,,
TC-348,审批完成后不再提醒,"1. 退件从「精分析审批/进行中」变为「已完成」
2. 定时任务执行",系统设置,系统管理员 / 分析主管,不再发送审批提醒,,,,
TC-349,邮件发送失败不影响系统运行,"1. 配置错误的 SMTP 服务器
2. 等待定时任务执行",系统设置,系统管理员,系统不崩溃，下一轮定时任务仍可执行,,,,
TC-350,SMB 首次无配置进入页面,"1. 数据库无 SMB 配置
2. 进入设置-SMB 存储配置",系统设置,系统管理员,表单显示为空（或默认值），无报错,,,,
TC-351,SMB 已有配置加载并密码脱敏,"1. 数据库已存在 SMB 配置
2. 进入设置-SMB 存储配置",系统设置,系统管理员,表单展示已保存配置，密码字段显示「******」,,,,
TC-352,保存 SMB 配置后立即可用,"1. 填写正确 SMB 配置
2. 保存
3. 立即上传/下载文件",系统设置,系统管理员,保存成功；文件操作成功，无需重启服务,,,,
TC-353,不改密码只改其他字段仍可用,"1. 加载已有配置（密码显示 ******）
2. 修改其他字段（不改密码）
3. 保存",系统设置,系统管理员,保存后文件操作仍可用,,,,
TC-354,SMB 密码错误后文件操作失败,"1. 将密码改为错误值
2. 保存
3. 上传/下载文件",系统设置,系统管理员,文件操作返回连接失败错误，系统不崩溃,,,,
TC-355,SMB 必填项校验,"1. 清空 host/shareName/user/password/prefix/env
2. 保存",系统设置,系统管理员,各必填项均有校验提示，不提交,,,,
TC-356,SMB 禁用后文件操作提示未配置,"1. 保存 enabled=false 的配置
2. 上传/下载文件",系统设置,系统管理员,返回 503，提示「SMB 未配置或已禁用」,,,,
TC-357,SMB 测试连接成功,"1. 配置正确 SMB 信息
2. 保存后点击测试连接",系统设置,系统管理员,显示成功提示,,,,
TC-358,SMB 测试连接失败,"1. 配置错误的 host 或密码
2. 保存后点击测试连接",系统设置,系统管理员,显示失败提示，包含错误原因,,,,
TC-359,SMB 未保存时测试连接禁用,"1. 修改配置但未保存
2. 查看测试连接按钮",系统设置,系统管理员,按钮禁用或提示「请先保存配置」,,,,
TC-360,SMB 首次无配置时文件操作提示,"1. 数据库无 SMB 配置
2. 上传/下载文件",系统设置,系统管理员,返回 503，提示「SMB 未配置或已禁用」,,,,待测试
TC-361,SMB 认证失败提示,"1. 配置正确 host/shareName 但错误用户名或密码
2. 保存
3. 上传文件",系统设置,系统管理员,前端显示 SMB 认证失败提示,,,,待测试
TC-362,退货单正常导入,"1. 打开「导入管理」页面
2. 点击「新建导入」
3. 选择导入类型「退货单」
4. 选择 Excel 文件
5. 点击确定",导入管理,系统管理员,显示成功数量等于数据行数，失败数为 0；退货单管理页面可查到新记录（状态为草稿，客户为 UNKNOWN）,,,,Excel 第 1 行标题、第 2 行表头、第 3 行起为数据
TC-363,退货单部分行导入失败,"1. 上传含空收货时间行的 Excel
2. 执行导入",导入管理,系统管理员,收货时间为空的行失败（提示「收货时间不能为空」），其余行正常创建；结果显示失败行号和错误信息,,,,
TC-364,查看历史导入记录,"1. 打开「导入管理」页面
2. 查看列表
3. 点击「查看日志」",导入管理,系统管理员,列表显示导入记录（文件名、类型、时间、总数/成功/失败）；可查看失败详情,,,,需先执行过一次导入
TC-365,导入日期格式兼容,"1. 上传含多种日期格式（yyyy-MM-dd / yyyy/MM/dd / Excel 数字序列）的 Excel
2. 执行导入",导入管理,系统管理员,所有日期格式均能正常解析，生成正确的收货日期和投诉日期,,,,
TC-366,MRB 号导入,"1. 上传含 MRB 号列的 Excel
2. 执行导入
3. 查看导入成功的退件详情",导入管理,系统管理员,退件「其他信息」字段显示「MRB 号：xxx」；MRB 号为空的行「其他信息」为空,,,,待测试
TC-367,导入不创建分析单,"1. 导入成功后
2. 查看分析单管理页面",导入管理,系统管理员,导入的退货单下无分析单记录，分析单页面不显示导入订单的分析单,,,,
TC-368,切换为英文界面,"1. 点击语言切换器
2. 切换到英文
3. 查看页面文本",基础功能,客户质量工程师,所有界面文本显示为英文,,,,
TC-369,切换回中文界面,"1. 点击语言切换器
2. 切换到中文
3. 查看页面文本",基础功能,客户质量工程师,所有界面文本显示为中文,,,,
TC-370,动态内容翻译保持不变,"1. 在中文模式下查看数据
2. 切换到英文",基础功能,客户质量工程师,数据中的中文（如客户名）保持不变,,,,
TC-371,切换用户（开发环境）,"1. 点击用户切换器
2. 选择不同用户",基础功能,客户质量工程师,当前用户变更，权限相应变更,,,,开发环境功能
TC-372,显示当前用户角色,"1. 切换用户
2. 查看显示的角色信息",基础功能,客户质量工程师,正确显示当前用户角色,,,,开发环境功能
TC-373,复制认证头,"1. 点击复制认证头
2. 粘贴到请求工具",基础功能,客户质量工程师,认证头复制成功,,,,开发环境功能
TC-374,新建退货单不残留上次表单,"1. 进入退货单列表
2. 点击「新建」填写部分字段后返回
3. 再次点击「新建」",基础功能,分析员,新建表单为空白初始状态，不显示上次填写的数据,,,,
TC-375,编辑后新建不残留编辑数据,"1. 打开某退货单「编辑」页
2. 返回列表
3. 点击「新建」",基础功能,分析员,新建表单为空白初始状态，不显示刚编辑订单的数据,,,,
TC-376,新建退件不残留上次表单,"1. 进入退件列表
2. 点击「新建」填写部分字段后返回
3. 再次点击「新建」",基础功能,分析员,新建表单为空白初始状态，不显示上次填写的数据,,,,
TC-377,返回箭头跳转逻辑父级,"1. 分别进入退货单详情、退件详情、分析单详情、精分析表单
2. 点击左上角返回箭头/取消",基础功能,分析员,全部跳转到对应逻辑父级页面，不依赖浏览器历史栈,,,,
TC-378,跨页面创建退件不残留旧表单,"1. 在退货单详情点「创建退件」进入退件创建页
2. 填写并提交
3. 回到退货单详情再次点「创建退件」",基础功能,分析员,第二次进入创建页为空白初始表单，提交后退件页自动离开新建页,,,,
